GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
mtp1, 2.03797087875326532469, 39.72340230663988336346, -170.80453138358203091229, 2.03797087875326532469, 39.72340230663988336346, -170.80453138358203091229, 1.00000000000000000000, 0
mtp2, 92.66782183973471376248, 27.14970659098552019373, -150.34955756375893543009, 92.66782183973471376248, 27.14970659098552019373, -150.34955756375893543009, 1.00000000000000000000, 0
mtp3, 1.22375072995376044105, 36.28535645005656817830, -170.09552545351095886872, 1.22375072995376044105, 36.28535645005656817830, -170.09552545351095886872, 1.00000000000000000000, 0
mtp4, 16.63441606740184397495, 35.73336339152206164727, -132.26219472881300021072, 16.63441606740184397495, 35.73336339152206164727, -132.26219472881300021072, 1.00000000000000000000, 0
mtp5, -9.30763309768801683219, 58.75104116982147672843, -168.28296592597453695817, -9.30763309768801683219, 58.75104116982147672843, -168.28296592597453695817, 1.00000000000000000000, 0
mtp6, 13.46447920821171706507, 32.73272590782121227448, -136.03724254058050746607, 13.46447920821171706507, 32.73272590782121227448, -136.03724254058050746607, 1.00000000000000000000, 0
mtp7, -15.72373779243067914990, 42.12365465261576247258, -171.18316159264927023287, -15.72373779243067914990, 42.12365465261576247258, -171.18316159264927023287, 1.00000000000000000000, 0
mtp8, 11.16810724683087840958, 38.25879594175502518283, -131.73166632140242882087, 11.16810724683087840958, 38.25879594175502518283, -131.73166632140242882087, 1.00000000000000000000, 0
mtp9, -14.17387212568472065755, 53.16997738919162941329, -168.54120713597697545083, -14.17387212568472065755, 53.16997738919162941329, -168.54120713597697545083, 1.00000000000000000000, 0
mtp10, 13.08718031781956270265, 33.72306413963009674717, -133.89562449317512005109, 13.08718031781956270265, 33.72306413963009674717, -133.89562449317512005109, 1.00000000000000000000, 0
mtp11, -15.89174669904376635543, 41.40573145662015974722, -171.44567975444195440105, -15.89174669904376635543, 41.40573145662015974722, -171.44567975444195440105, 1.00000000000000000000, 0
mtp13, 35.04467082381384557266, -20.86909702735093929959, -103.80314218563303541032, 35.04467082381384557266, -20.86909702735093929959, -103.80314218563303541032, 1.00000000000000000000, 0
mtp14, 25.06803841059994653051, -8.79586415835086299353, -178.32024340412343121898, 25.06803841059994653051, -8.79586415835086299353, -178.32024340412343121898, 1.00000000000000000000, 0
mtp15, 4.05705664757179107482, 49.61511341796261831405, -163.72429000165340085005, 4.05705664757179107482, 49.61511341796261831405, -163.72429000165340085005, 1.00000000000000000000, 0
mtp16, 11.58417133079064598178, 46.58332662017693337475, -133.86092303894523070085, 11.58417133079064598178, 46.58332662017693337475, -133.86092303894523070085, 1.00000000000000000000, 0
mtp17, 3.87058453307821892508, 32.77423922046892812432, -165.74637813713817990902, 3.87058453307821892508, 32.77423922046892812432, -165.74637813713817990902, 1.00000000000000000000, 0
mtp18, 3.87058453307821714873, 32.77423922046892812432, -136.22682506091612708587, 3.87058453307821714873, 32.77423922046892812432, -136.22682506091612708587, 1.00000000000000000000, 0
