_0.0_1290x920 (RGB)
PerspectiveCamera5
-0.0287232, 0.171141, 1, -0.0720349, 0.105451, -0.043827, 0.797917, 0.0760631
-0.024931, 0.0388296, -0.0720349, 1, -0.940901, 0.87396, -0.0650912, 0.0747147
0.0171448, 0.00275033, 0.105451, -0.940901, 1, -0.976355, 0.145183, -0.0636401
-0.0158875, -0.0060391, -0.043827, 0.87396, -0.976355, 1, -0.0950614, 0.0477236
0.0929287, 0.148351, 0.797917, -0.0650912, 0.145183, -0.0950614, 1, 0.085287
-0.244337, 0.804287, 0.0760631, 0.0747147, -0.0636401, 0.0477236, 0.085287, 1
_0.0_772x932 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.211133, -0.101835, -0.199559, 0.258626, -0.28409, 0.0568583, -0.075586
-0.211133, 1, -0.0413149, -0.00946165, 0.0685129, -0.119402, -0.183352, 0.670708
-0.101835, -0.0413149, 1, -0.24338, 0.255209, -0.269184, 0.831222, 0.114195
-0.199559, -0.00946165, -0.24338, 1, -0.956031, 0.886029, -0.208643, 0.158059
0.258626, 0.0685129, 0.255209, -0.956031, 1, -0.975946, 0.186141, -0.110352
-0.28409, -0.119402, -0.269184, 0.886029, -0.975946, 1, -0.208182, -0.00556136
0.0568583, -0.183352, 0.831222, -0.208643, 0.186141, -0.208182, 1, 0.0682072
-0.075586, 0.670708, 0.114195, 0.158059, -0.110352, -0.00556136, 0.0682072, 1
_0.0_939x844 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0992915, -0.0292956, -0.0136048, -0.0234759, 0.038793, 0.190309, -0.105992
-0.0992915, 1, 0.199635, 0.0102849, 0.0381984, -0.0408407, -0.0226576, 0.751585
-0.0292956, 0.199635, 1, 0.0308709, -0.0270749, 0.0384473, 0.667849, 0.344028
-0.0136048, 0.0102849, 0.0308709, 1, -0.960069, 0.90076, 0.0647201, 0.050492
-0.0234759, 0.0381984, -0.0270749, -0.960069, 1, -0.98199, -0.0988059, 0.0475983
0.038793, -0.0408407, 0.0384473, 0.90076, -0.98199, 1, 0.12403, -0.0714059
0.190309, -0.0226576, 0.667849, 0.0647201, -0.0988059, 0.12403, 1, 0.119749
-0.105992, 0.751585, 0.344028, 0.050492, 0.0475983, -0.0714059, 0.119749, 1
_0.0_1209x690 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
