1.JPG,-57.784294,14.680319,-63.885449
2.JPG,19.378890,1.329873,-33.255884
3.JPG,37.026388,2.841421,-36.211415
4.JPG,52.629525,-33.940022,-22.168941
5.JPG,41.143074,-49.908024,-32.285005
6.JPG,29.078132,-55.398552,-35.194169
7.JPG,23.159053,-55.506319,-38.111235
8.JPG,2.065230,-37.656052,-59.418660
9.JPG,-13.918575,-47.253568,-28.759810
10.JPG,-18.262223,-22.238357,-25.541537
11.JPG,-26.771681,-4.122113,-25.060672
13.JPG,-38.897269,15.592021,-28.338463
14.JPG,-40.765353,42.575295,-30.265789
15.JPG,20.339897,86.190219,-12.945925
16.JPG,23.900172,127.283875,-69.995347
17.JPG,39.375222,123.081406,-68.334194
22.JPG,-26.178681,28.288482,-89.266382
24.JPG,-27.402689,-22.856697,-62.810609
25.JPG,14.704887,-89.022475,-56.929907
26.JPG,57.510541,-12.319268,-30.728980
27.JPG,50.724098,86.196094,-22.694609
28.JPG,23.860866,131.317645,-55.945546
29.JPG,-21.688828,-16.730954,-70.414076
