x,y,z,sx,sy,sz
44.54,1.40,-166.83,400793.5457,79715.8380,430582.6355
52.76,7.28,-140.06,451573.9849,80152.2007,394622.1089
59.02,40.47,-162.32,379125.1439,198943.0150,408305.6451
34.48,-20.58,-172.69,383718.2505,146349.1723,449897.1047
47.61,-2.32,-164.70,426631.4932,106478.7483,431293.3938
44.48,4.00,-158.51,401320.2112,57529.8575,413666.4099
47.25,-7.41,-168.88,431664.9062,124200.3860,442872.6795
47.57,-3.40,-164.75,428587.7165,109741.4435,432074.7069
22.87,-16.12,-172.87,309077.8322,64762.8527,437286.4756
25.46,-15.38,-115.38,360643.6610,58000.4985,387156.5291
76.74,24.61,-137.82,535802.8093,189488.3075,399080.1324
51.69,8.55,-140.12,443098.6584,70110.6683,393403.6020
48.93,-19.42,-147.56,477828.9238,168328.2790,413772.6810
49.35,25.32,-139.73,389941.3060,46840.6841,383124.8961
5.84,-23.57,-152.84,224641.8275,62766.9013,393663.2351
49.44,-18.06,-158.22,470722.4515,165703.9423,430124.2326
49.31,-18.88,-150.82,476678.0205,167309.5656,418342.9804
48.64,22.06,-139.86,394620.2009,19818.5506,384426.2656
63.93,41.89,-153.84,408974.6556,212921.5530,398675.1550
29.38,-18.61,-166.59,356189.7274,118897.3346,431436.9473
25.20,-14.58,-119.46,355500.4163,42945.6917,384925.1381
49.42,-17.70,-161.65,467474.4177,164946.8548,436279.7514
49.20,-18.76,-152.75,474576.6577,167019.9932,421150.0849
49.79,-16.97,-167.47,463839.8198,164141.6236,447944.3051
48.15,69.72,-127.59,226022.4017,215449.8376,358547.4598
48.31,25.79,-141.56,381595.5321,39455.7333,383388.8934
90.86,29.23,-136.77,595602.8935,236227.7564,404104.8062
48.11,25.70,-141.91,380460.3078,37047.0432,383545.4206
25.91,-16.79,-116.28,365185.6669,81115.6570,387302.7283
48.99,17.45,-138.86,408914.7494,8012.1193,386367.8369
50.88,48.42,-162.26,305100.4855,189518.4356,395183.4332
34.93,-13.71,-115.34,412366.8953,87362.3647,389930.4345
57.21,19.42,-164.42,427488.5847,139793.2159,424424.5331
31.71,-11.85,-113.01,392137.6545,41363.6665,389622.8805
49.76,5.10,-142.93,438509.2828,70139.3334,396405.9170
33.15,-11.37,-113.57,399195.4989,46099.2050,389605.7574
49.03,-18.79,-151.88,474340.8214,166689.2674,419717.7481
48.56,-18.59,-157.72,467383.0285,166118.6509,428941.0042
49.34,-17.39,-164.58,464403.4326,164226.3551,441847.4466
30.74,-12.59,-114.63,387009.9711,48758.8187,388544.3797
60.74,0.27,-145.99,503437.3775,133976.7185,409027.6835
58.47,45.40,-137.72,381976.8374,179881.1583,377983.2385
63.31,27.24,-152.06,449220.2202,166108.8723,404360.7287
32.82,-8.05,-156.85,363548.2565,37438.0357,409735.9321
49.43,26.75,-144.99,382403.0611,69871.0371,386409.6017
67.61,8.70,-180.04,493341.4340,180174.5745,474867.8419
55.73,53.60,-138.94,336788.1462,200350.0797,372239.7267
-11.22,-55.21,-156.51,76249.4417,305481.1271,407984.7891
42.70,51.70,-165.03,236196.4282,160689.7818,389097.8209
48.08,-19.79,-147.96,473701.4229,168572.5374,413994.6111
41.47,54.04,-164.81,216367.5067,163160.2952,385627.1565
51.76,26.46,-148.58,392982.1415,97678.3777,391887.0902
42.94,23.52,-169.84,334742.3015,53202.5997,419556.0740
54.68,22.55,-161.22,408753.1626,128361.1744,414525.4373
55.51,21.36,-166.16,412087.2507,137008.6931,425032.7664
45.77,22.28,-163.06,359859.6834,66406.3513,410323.4817
-7.46,-37.58,-151.57,124546.2941,180426.0277,391683.4696
-3.78,-34.84,-134.24,172530.0546,172447.8962,379445.2174
44.54,-15.27,-171.53,429988.6155,146596.6131,451710.2231
45.50,-26.79,-163.86,460232.4593,196439.7838,443350.3370
44.14,-41.25,-157.82,478281.8551,260541.5569,439059.1871
65.26,2.67,-163.68,508106.9613,159305.3726,439606.6313
58.34,-3.53,-135.84,505890.3112,126280.7199,399292.4897
62.31,-8.70,-152.77,524210.5656,159729.0398,424172.2390
57.87,54.83,-141.08,342699.4736,218146.5311,374215.3398
48.72,-19.86,-145.42,478917.0357,169499.7025,411101.3289
44.83,35.35,-142.64,333231.5145,38550.4055,376212.7872
48.75,3.83,-143.11,435751.8325,67503.1301,396593.2078
32.64,-14.21,-109.93,403317.0972,79548.7521,392712.5722
31.30,-20.82,-172.94,366102.6251,139197.6910,448017.9964
31.63,-20.57,-172.78,367690.2547,138626.6854,447754.7150
31.14,-14.37,-116.83,391188.4999,77781.0755,388151.9730
32.29,-13.53,-153.85,372933.3783,90329.9622,408278.2835
16.78,-24.01,-171.36,286181.8865,116230.8929,434684.2852
-4.56,-33.00,-139.66,159263.5221,149707.7636,380235.5705
44.90,48.98,-165.39,262489.1844,163116.5129,394038.3606
57.43,18.13,-161.62,434172.5162,135535.7405,420284.1589
50.30,-16.50,-168.61,464834.0042,163723.4852,450484.7967
50.92,-16.07,-168.29,467580.1016,163424.1343,449992.9438
49.20,-19.13,-149.16,477703.4201,167876.3701,415995.9500
10.89,-26.31,-144.96,269515.7990,125354.9293,390446.3907
32.78,-35.39,-174.39,395661.1158,220743.9846,462642.0644
48.19,31.59,-141.08,364941.4587,62324.0801,379813.9152
36.18,-39.68,-174.69,420361.7421,244803.6842,468828.8561
31.65,-37.47,-174.66,391871.5377,230046.5669,463812.8028
39.47,-39.64,-174.42,438768.3554,246990.0571,470609.1106
41.60,-11.27,-170.54,407652.4941,120251.0839,444490.2097
55.83,27.64,-163.15,399451.7046,147980.2771,415525.1942
35.36,-38.06,-174.61,413659.8702,236401.8592,466949.0109
35.67,-39.91,-174.70,417814.6183,245546.8712,468638.7543
44.63,-2.41,-169.37,407370.2577,96111.8741,438452.0850
42.24,2.46,-168.90,384491.4499,60381.3038,432128.2450
35.44,-36.88,-174.42,412672.2406,230787.7071,465773.9028
37.87,-40.96,-174.60,431589.1714,252045.7613,470724.8368
87.63,5.96,-150.25,622765.2194,197985.8264,428423.2364
86.82,7.53,-150.89,614947.5246,198694.3655,428271.5986
76.48,28.31,-152.33,513626.2312,213817.4739,413672.0562
88.67,3.58,-152.20,631365.0337,199188.4144,433302.7338
46.67,-34.91,-167.99,475884.5469,232190.6485,457885.0576
39.62,-40.22,-174.97,439962.1551,249648.0353,472445.7487
37.54,-41.03,-175.35,429304.7932,251980.0410,472351.0776
37.86,-43.82,-175.86,434329.1279,265056.2982,475662.2577
51.05,-7.11,-165.59,453593.1963,134091.4880,438776.1774
