imageName longitude latitude altitude Omega Phi Kappa
1.JPG 0.00000000 0.00000000 0.00000000 5.86761626 -45.64958073 -92.06419532
2.JPG 0.00000000 0.00000000 0.00000000 6.65871797 -2.74152074 -64.04504278
3.JPG 0.00000000 0.00000000 0.00000000 4.27231587 1.72734843 115.56195650
4.JPG 0.00000000 0.00000000 0.00000000 10.68082710 13.27159029 74.36591063
5.JPG 0.00000000 0.00000000 0.00000000 21.89501230 9.78905315 40.49556369
6.JPG 0.00000000 0.00000000 0.00000000 26.25649541 4.86190024 22.67983711
7.JPG 0.00000000 0.00000000 0.00000000 30.76240067 0.70585382 9.08151098
8.JPG 0.00000000 0.00000000 0.00000000 32.65065395 -9.63071133 -10.08510378
9.JPG 0.00000000 0.00000000 0.00000000 26.61307504 -17.22978469 -35.23381941
10.JPG 0.00000000 0.00000000 0.00000000 16.77318503 -20.84121907 -60.03350483
11.JPG 0.00000000 0.00000000 0.00000000 8.66783864 -25.57736196 -84.09924579
13.JPG 0.00000000 0.00000000 0.00000000 1.12456522 -31.27367596 -101.42392063
14.JPG 0.00000000 0.00000000 0.00000000 -9.90286035 -32.08791509 -121.67882450
15.JPG 0.00000000 0.00000000 0.00000000 -27.92808540 -7.25700582 -176.01241563
16.JPG 0.00000000 0.00000000 0.00000000 -54.90570892 -9.32583364 178.82979986
17.JPG 0.00000000 0.00000000 0.00000000 -52.69972378 11.33228402 171.54716774
22.JPG 0.00000000 0.00000000 0.00000000 -11.92634191 -30.42732976 -126.65291448
24.JPG 0.00000000 0.00000000 0.00000000 22.46193139 -32.40107773 -60.38004480
25.JPG 0.00000000 0.00000000 0.00000000 42.08881583 -2.17696458 2.69055879
26.JPG 0.00000000 0.00000000 0.00000000 2.63420520 17.91270782 100.11703997
27.JPG 0.00000000 0.00000000 0.00000000 -29.06431371 17.91585722 152.16033428
28.JPG 0.00000000 0.00000000 0.00000000 -49.24914102 0.48675776 173.40624806
29.JPG 0.00000000 0.00000000 0.00000000 24.29064155 -30.93376595 -56.79542992
